3
Input Files/1.txt
Input Files/10.txt
Input Files/2.txt
0 5000
begging 1 1 
begin 1 1 
beginning 1 1 
begins 1 1 
behar 1 1 
behavior 1 1 
behind 1 1 
being 1 1 
bejesus 1 1 
belatedly 1 1 
believe 1 1 
belinda 1 1 
bell 1 1 
bellini 1 1 
bellow 1 1 
belong 1 1 
belongings 1 1 
below 1 1 
belt 1 1 
ben 1 1 
bench 1 1 
bending 1 1 
bends 1 1 
beneath 1 1 
benefits 1 1 
benjes 1 1 
bennis 1 1 
bent 1 1 
bentover 1 1 
bergdorf 1 1 
besides 1 1 
best 1 1 
bet 1 1 
betsey 1 1 
better 1 1 
between 1 1 
beware 1 1 
biceps 1 1 
big 1 1 
bike 1 1 
bikini 1 1 
bill 1 1 
billowing 1 1 
billy 1 1 
bimbo 1 1 
binge 1 1 
binging 1 1 
biographies 1 1 
bird 1 1 
bishop 1 1 
bistro 1 1 
bit 1 1 
bitch 1 1 
bitches 1 1 
bitchily 1 1 
bitchy 1 1 
bite 1 1 
bits 1 1 
bitterly 1 1 
bizarre 1 1 
blabbering 1 1 
black 1 1 
blackened 1 1 
blackness 1 1 
blade 1 1 
blah 1 1 
blahnik 1 1 
blanc 1 1 
blank 1 1 
blaring 1 1 
blass 1 1 
blast 1 1 
bleach 1 1 
bleached 1 1 
bleding 1 1 
bleed 1 1 
bleeding 1 1 
blemish 1 1 
blessing 1 1 
blind 1 1 
blinding 1 1 
blinds 1 1 
blinking 1 1 
blissfully 1 1 
block 1 1 
blocking 1 1 
blocks 1 1 
blond 1 1 
blonde 1 1 
blood 1 1 
bloodstained 1 1 
bloody 1 1 
bloomingdale 1 1 
bloomingdate 1 1 
blouse 1 1 
blow 1 1 
blowing 1 1 
blubbers 1 1 
blue 1 1 
blueberry 1 1 
blur 1 1 
blushing 1 1 
bmw 1 1 
board 1 1 
boardroom 1 1 
boards 1 1 
bobbing 1 1 
bobby 1 1 
body 1 1 
bodywrap 1 1 
boisterous 1 1 
bold 1 1 
bolivian 1 1 
bollinger 1 1 
bolts 1 1 
bones 1 1 
bonwit 1 1 
book 1 1 
bookshelf 1 1 
booth 1 1 
booths 1 1 
boots 1 1 
border 1 1 
bore 1 1 
bored 1 1 
boris 1 1 
bosca 1 1 
bosco 1 1 
boss 1 1 
boston 1 1 
both 1 1 
bother 1 1 
bottega 1 1 
bottle 1 1 
bottles 1 1 
bottom 1 1 
boudin 1 1 
bought 1 1 
boundary 1 1 
bow 1 1 
bowed 1 1 
bowing 1 1 
bowl 1 1 
bowling 1 1 
bows 1 1 
box 1 1 
boxed 1 1 
boxer 1 1 
boxes 1 1 
boy 1 1 
boyfriend 1 1 
braces 1 1 
brain 1 1 
bran 1 1 
brand 1 1 
brass 1 1 
bread 1 1 
breadstick 1 1 
break 1 1 
breakfast 1 1 
breaking 1 1 
breaks 1 1 
breast 1 1 
breasted 1 1 
breasts 1 1 
breath 1 1 
breathe 1 1 
breathes 1 1 
breathing 1 1 
breathlessly 1 1 
breed 1 1 
briar 1 1 
bridge 1 1 
brie 1 1 
brief 1 1 
briefcase 1 1 
bright 1 1 
brightens 1 1 
brilliant 1 1 
bring 1 1 
bringing 1 1 
brings 1 1 
british 1 1 
brittle 1 1 
broadcloth 1 1 
broadway 1 1 
brochure 1 1 
broderick 1 1 
broiled 1 1 
broke 1 1 
broken 1 1 
brooke 1 1 
brooks 1 1 
brother 1 1 
brothers 1 1 
brought 1 1 
brow 1 1 
brown 1 1 
brownstone 1 1 
browse 1 1 
brush 1 1 
brushing 1 1 
bucked 1 1 
bucket 1 1 
bucks 1 1 
buff 1 1 
buffed 1 1 
bugs 1 1 
