6
Input Files/1.txt
Input Files/10.txt
Input Files/2.txt
Input Files/3.txt
Input Files/4.txt
Input Files/5.txt
0 5000
a 1 3 
abandoned 1 3 
able 1 3 
abolished 1 3 
about 1 3 
aboutkeeping 1 3 
above 1 3 
abruptly 1 3 
abuse 1 3 
academic 1 3 
accent 1 3 
acceptance 1 3 
accepted 1 3 
accepting 1 3 
accident 1 3 
accompanied 1 3 
accompany 1 3 
accorded 1 3 
according 1 3 
accounts 1 3 
accumulating 1 3 
accuracy 1 3 
accused 1 3 
ache 1 3 
across 1 3 
act 1 3 
acted 1 3 
acting 1 3 
action 1 3 
activist 1 3 
acto 1 3 
actually 1 3 
acuff 1 3 
ad 1 3 
add 1 3 
added 1 3 
addict 1 3 
addictions 1 3 
adding 1 3 
addition 1 3 
address 1 3 
administrator 1 3 
administrators 1 3 
admired 1 3 
admission 1 3 
admit 1 3 
admitted 1 3 
adrenaline 1 3 
adrift 1 3 
advanced 1 3 
advances 1 3 
advantage 1 3 
adventure 1 3 
adventures 1 3 
adviser 1 3 
aerial 1 3 
aerodynamics 1 3 
afford 1 3 
affordthe 1 3 
afraid 1 3 
africa 1 3 
after 1 3 
afternoon 1 3 
afterward 1 3 
again 1 3 
against 1 3 
age 1 3 
aged 1 3 
agency 1 3 
agitation 1 3 
agitator 1 3 
agreed 1 3 
ahead 1 3 
aid 1 3 
aim 1 3 
aimed 1 3 
aint 1 3 
air 1 3 
aircraft 1 3 
aisle 1 3 
alamos 1 3 
alaska 1 3 
albums 1 3 
alcohol 1 3 
alcoholic 1 3 
alcoholics 1 3 
ale 1 3 
algae 1 3 
alive 1 3 
all 1 3 
allenthat 1 3 
allow 1 3 
allowance 1 3 
allowances 1 3 
ally 1 3 
almost 1 3 
alone 1 3 
along 1 3 
aloud 1 3 
already 1 3 
also 1 3 
although 1 3 
altogether 1 3 
aluminum 1 3 
always 1 3 
amazing 1 3 
among 1 3 
an 1 3 
ancient 1 3 
and 1 3 
angels 1 3 
anger 1 3 
angled 1 3 
angrily 1 3 
angry 1 3 
angular 1 3 
animal 1 3 
annes 1 3 
annie 1 3 
announced 1 3 
announcement 1 3 
announcer 1 3 
announcing 1 3 
another 1 3 
answer 1 3 
answered 1 3 
answering 1 3 
answers 1 3 
anticipation 1 3 
anticipationbut 1 3 
antique 1 3 
anuary 1 3 
any 1 3 
anybody 1 3 
anymore 1 3 
anyone 1 3 
anyplace 1 3 
anything 1 3 
anytime 1 3 
anyway 1 3 
anywhere 1 3 
ap 1 3 
apart 1 3 
apartment 1 3 
apiece 1 3 
apologize 1 3 
appalachia 1 3 
appalachian 1 3 
appealed 1 3 
appear 1 3 
appeared 1 3 
applause 1 3 
apple 1 3 
apples 1 3 
appliance 1 3 
appliances 1 3 
applicators 1 3 
applied 1 3 
apply 1 3 
appointments 1 3 
appraised 1 3 
appreciate 1 3 
appreciated 1 3 
appreciation 1 3 
approached 1 3 
approved 1 3 
aptitudes 1 3 
are 1 3 
area 1 3 
arent 1 3 
argue 1 3 
argued 1 3 
argument 1 3 
arguments 1 3 
arm 1 3 
armfuls 1 3 
armory 1 3 
armpit 1 3 
arms 1 3 
armstrong 1 3 
army 1 3 
around 1 3 
arranged 1 3 
arrangement 1 3 
arrest 1 3 
arrested 1 3 
arrived 1 3 
arsenal 1 3 
art 1 3 
article 1 3 
articles 1 3 
artist 1 3 
artists 1 3 
arts 1 3 
as 1 3 
ashamed 1 3 
aside 1 3 
ask 1 3 
asked 1 3 
asking 1 3 
asleep 1 3 
asphalt 1 3 
ass 1 3 
assault 1 3 
assembled 1 3 
assembly 1 3 
assigned 1 3 
assignment 1 3 
assistant 1 3 
assumed 1 3 
assured 1 3 
astor 1 3 
astrological 1 3 
at 1 3 
ate 1 3 
atheistic 1 3 
athletes 1 3 
atlantic 1 3 
atmosphere 1 3 
attacked 1 3 
attended 1 3 
attending 1 3 
attention 1 3 
attorney 1 3 
attracted 1 3 
auditorium 1 3 
august 1 3 
australia 1 3 
austrian 1 3 
authority 1 3 
authors 1 3 
auto 1 3 
automated 1 3 
automatically 1 3 
