1
Input Files/2.txt
0 5000
bedroom 1 0 
beds 1 0 
been 1 0 
beethoven 1 0 
before 1 0 
beg 1 0 
began 1 0 
begged 1 0 
begging 1 0 
begin 1 0 
beginning 1 0 
begins 1 0 
behaviors 1 0 
behind 1 0 
beholder 1 0 
being 1 0 
beings 1 0 
belching 1 0 
belief 1 0 
beliefs 1 0 
believe 1 0 
believed 1 0 
believer 1 0 
believes 1 0 
believing 1 0 
bell 1 0 
belly 1 0 
belong 1 0 
belonged 1 0 
belt 1 0 
bench 1 0 
benefit 1 0 
benefited 1 0 
benefiting 1 0 
benefits 1 0 
benevolent 1 0 
berated 1 0 
besides 1 0 
best 1 0 
bet 1 0 
betrayals 1 0 
betrayed 1 0 
bets 1 0 
better 1 0 
bettering 1 0 
betting 1 0 
between 1 0 
beyond 1 0 
bible 1 0 
biceps 1 0 
bicycle 1 0 
bicycles 1 0 
big 1 0 
bigger 1 0 
biggest 1 0 
bike 1 0 
bikes 1 0 
bill 1 0 
billy 1 0 
bird 1 0 
birth 1 0 
bit 1 0 
bite 1 0 
bites 1 0 
bits 1 0 
bitten 1 0 
bitter 1 0 
bitterly 1 0 
bitterness 1 0 
black 1 0 
blackburn 1 0 
blacked 1 0 
blame 1 0 
blamed 1 0 
blaming 1 0 
blast 1 0 
blasted 1 0 
blaze 1 0 
bleeding 1 0 
blessed 1 0 
blessing 1 0 
blessings 1 0 
blessingsenough 1 0 
blind 1 0 
blinded 1 0 
blindness 1 0 
blindsided 1 0 
block 1 0 
blocked 1 0 
blocks 1 0 
blog 1 0 
blogs 1 0 
bloke 1 0 
blood 1 0 
blossoms 1 0 
blow 1 0 
blown 1 0 
blue 1 0 
bluetooth 1 0 
blunt 1 0 
board 1 0 
boarded 1 0 
boarding 1 0 
bodies 1 0 
body 1 0 
boil 1 0 
boiling 1 0 
bold 1 0 
bolted 1 0 
bomb 1 0 
bombarded 1 0 
bombay 1 0 
bond 1 0 
bonded 1 0 
bonding 1 0 
bonds 1 0 
bone 1 0 
bonehead 1 0 
bones 1 0 
bonus 1 0 
bonuslacking 1 0 
boo 1 0 
book 1 0 
books 1 0 
booming 1 0 
boos 1 0 
boost 1 0 
boosting 1 0 
bored 1 0 
boring 1 0 
born 1 0 
boss 1 0 
bossed 1 0 
bossy 1 0 
both 1 0 
bothered 1 0 
bought 1 0 
boulder 1 0 
bounce 1 0 
bounced 1 0 
bound 1 0 
bounds 1 0 
bowedto 1 0 
bowl 1 0 
boy 1 0 
boyfriend 1 0 
boyhood 1 0 
boys 1 0 
brace 1 0 
brad 1 0 
brain 1 0 
brains 1 0 
brainwashed 1 0 
branch 1 0 
brand 1 0 
brave 1 0 
bravei 1 0 
break 1 0 
breakers 1 0 
breakfast 1 0 
breaking 1 0 
breaks 1 0 
breakthrough 1 0 
breakup 1 0 
breath 1 0 
breathe 1 0 
breathing 1 0 
breeze 1 0 
bridge 1 0 
brief 1 0 
briefly 1 0 
briefs 1 0 
brig 1 0 
bright 1 0 
brilliant 1 0 
bring 1 0 
bringing 1 0 
brings 1 0 
brisbane 1 0 
broke 1 0 
broken 1 0 
brothel 1 0 
brothels 1 0 
brother 1 0 
brothers 1 0 
brought 1 0 
bruises 1 0 
bruising 1 0 
brush 1 0 
brutally 1 0 
bryan 1 0 
buck 1 0 
budget 1 0 
bug 1 0 
bugs 1 0 
build 1 0 
building 1 0 
builds 1 0 
built 1 0 
bulb 1 0 
bull 1 0 
bullet 1 0 
bullied 1 0 
bully 1 0 
bullying 1 0 
bum 1 0 
bump 1 0 
bumping 1 0 
bumps 1 0 
bumpy 1 0 
bunch 1 0 
burden 1 0 
burdened 1 0 
burdening 1 0 
burdens 1 0 
buried 1 0 
burn 1 0 
burned 1 0 
burning 1 0 
burp 1 0 
bury 1 0 
bush 1 0 
bushes 1 0 
business 1 0 
businesses 1 0 
busy 1 0 
but 1 0 
buts 1 0 
butt 1 0 
butted 1 0 
butterfly 1 0 
buttons 1 0 
buy 1 0 
buying 1 0 
buys 1 0 
by 1 0 
c 1 0 
cabinet 1 0 
cages 1 0 
california 1 0 
call 1 0 
called 1 0 
calling 1 0 
calloused 1 0 
calm 1 0 
calming 1 0 
camaraderie 1 0 
cambodia 1 0 
came 1 0 
camera 1 0 
camp 1 0 
campaign 1 0 
can 1 0 
canada 1 0 
canceled 1 0 
cancer 1 0 
candy 1 0 
canes 1 0 
cannot 1 0 
canyon 1 0 
capable 1 0 
capsule 1 0 
captain 1 0 
captive 1 0 
capture 1 0 
captured 1 0 
capturing 1 0 
car 1 0 
cara 1 0 
card 1 0 
cards 1 0 
care 1 0 
cared 1 0 
career 1 0 
careers 1 0 
careful 1 0 
carefully 1 0 
caregiver 1 0 
caregivers 1 0 
caring 1 0 
carnivorous 1 0 
carrie 1 0 
carried 1 0 
carry 1 0 
carrying 1 0 
carson 1 0 
cartagena 1 0 
case 1 0 
cases 1 0 
cast 1 0 
castrated 1 0 
catch 1 0 
catching 1 0 
caterpillar 1 0 
caterwauling 1 0 
caught 1 0 
cause 1 0 
causes 1 0 
cautious 1 0 
cautiously 1 0 
cavalry 1 0 
cave 1 0 
cd 1 0 
celebrate 1 0 
celebrated 1 0 
cell 1 0 
cellphone 1 0 
cells 1 0 
cellular 1 0 
center 1 0 
centered 1 0 
centers 1 0 
ceremonies 1 0 
certain 1 0 
certainly 1 0 
chain 1 0 
chains 1 0 
chair 1 0 
chairs 1 0 
challenge 1 0 
challenges 1 0 
challenging 1 0 
chamber 1 0 
champion 1 0 
championships 1 0 
chance 1 0 
chances 1 0 
change 1 0 
changed 1 0 
changes 1 0 
changing 1 0 
channeled 1 0 
channels 1 0 
chapter 1 0 
chapters 1 0 
character 1 0 
characteristic 1 0 
characters 1 0 
charge 1 0 
charged 1 0 
charisma 1 0 
charitable 1 0 
charity 1 0 
charm 1 0 
charming 1 0 
chase 1 0 
chasing 1 0 
chat 1 0 
check 1 0 
checked 1 0 
checkups 1 0 
cheek 1 0 
cheeks 1 0 
cheerfully 1 0 
cheering 1 0 
cheerleadersthey 1 0 
chef 1 0 
chemotherapy 1 0 
chest 1 0 
chewing 1 0 
chicken 1 0 
child 1 0 
childhood 1 0 
childish 1 0 
children 1 0 
chillin 1 0 
chin 1 0 
china 1 0 
chip 1 0 
choice 1 0 
choices 1 0 
choose 1 0 
chooses 1 0 
choosing 1 0 
chord 1 0 
chose 1 0 
chosen 1 0 
chris 1 0 
christ 1 0 
christian 1 0 
christianity 1 0 
christians 1 0 
chrysler 1 0 
chuck 1 0 
chucky 1 0 
church 1 0 
churches 1 0 
churchill 1 0 
circle 1 0 
circled 1 0 
circumstance 1 0 
circumstances 1 0 
circumstancesa 1 0 
circus 1 0 
citizens 1 0 
city 1 0 
claim 1 0 
claimed 1 0 
clarity 1 0 
clarkson 1 0 
clasped 1 0 
class 1 0 
classes 1 0 
classic 1 0 
classified 1 0 
classmates 1 0 
classroom 1 0 
clawing 1 0 
clean 1 0 
clear 1 0 
cleared 1 0 
clearly 1 0 
clerks 1 0 
clients 1 0 
climb 1 0 
climbed 1 0 
climbing 1 0 
clinic 1 0 
clip 1 0 
clock 1 0 
close 1 0 
closed 1 0 
closer 1 0 
closest 1 0 
clothing 1 0 
cloud 1 0 
clovers 1 0 
club 1 0 
clubs 1 0 
clue 1 0 
clues 1 0 
co 1 0 
coach 1 0 
coaching 1 0 
coast 1 0 
coax 1 0 
coin 1 0 
cold 1 0 
collapsed 1 0 
college 1 0 
collins 1 0 
colombia 1 0 
colorado 1 0 
columba 1 0 
com 1 0 
coma 1 0 
combination 1 0 
combined 1 0 
come 1 0 
comes 1 0 
comfort 1 0 
comfortable 1 0 
comforting 1 0 
coming 1 0 
commanded 1 0 
comment 1 0 
comments 1 0 
commerce 1 0 
commercial 1 0 
commissioned 1 0 
commitment 1 0 
committed 1 0 
common 1 0 
commonly 1 0 
communicate 1 0 
communicating 1 0 
communications 1 0 
communities 1 0 
community 1 0 
commuting 1 0 
companies 1 0 
company 1 0 
compare 1 0 
compared 1 0 
compartment 1 0 
compassion 1 0 
compassionate 1 0 
compelling 1 0 
competition 1 0 
complained 1 0 
complaints 1 0 
complete 1 0 
completely 1 0 
completing 1 0 
compliment 1 0 
composition 1 0 
compounds 1 0 
comprehend 1 0 
computer 1 0 
conceded 1 0 
concentrate 1 0 
concept 1 0 
concern 1 0 
concerned 1 0 
concerning 1 0 
concerns 1 0 
conclusion 1 0 
conclusions 1 0 
concrete 1 0 
condition 1 0 
conditioned 1 0 
conditioner 1 0 
conditions 1 0 
conduct 1 0 
conducting 1 0 
conference 1 0 
confess 1 0 
confessed 1 0 
confidence 1 0 
confident 1 0 
confirmed 1 0 
conflicts 1 0 
confronted 1 0 
confused 1 0 
congregation 1 0 
conked 1 0 
connect 1 0 
connection 1 0 
connections 1 0 
conquer 1 0 
conquering 1 0 
conqueror 1 0 
conquers 1 0 
cons 1 0 
conscious 1 0 
consciously 1 0 
consciousness 1 0 
consecutive 1 0 
consented 1 0 
consequences 1 0 
consequenceswhich 1 0 
consider 1 0 
considerably 1 0 
consideration 1 0 
considered 1 0 
considering 1 0 
conspirators 1 0 
constant 1 0 
constantly 1 0 
consult 1 0 
contact 1 0 
contacted 1 0 
contacts 1 0 
contagion 1 0 
contain 1 0 
contemplate 1 0 
contentment 1 0 
contestants 1 0 
continually 1 0 
continue 1 0 
continuing 1 0 
contract 1 0 
control 1 0 
controlling 1 0 
controls 1 0 
conversation 1 0 
conversations 1 0 
convey 1 0 
conviction 1 0 
convince 1 0 
convinced 1 0 
convincing 1 0 
cooked 1 0 
cooking 1 0 
cool 1 0 
cooler 1 0 
coordinator 1 0 
cop 1 0 
copy 1 0 
coral 1 0 
core 1 0 
cornea 1 0 
