3
Input Files/1.txt
Input Files/10.txt
Input Files/2.txt
0 5000
a 1 1 
abacus 1 1 
abandoned 1 1 
abboud 1 1 
abhorrent 1 1 
able 1 1 
abortion 1 1 
about 1 1 
above 1 1 
absence 1 1 
absently 1 1 
absolut 1 1 
absolutely 1 1 
absorbing 1 1 
accent 1 1 
accept 1 1 
accepted 1 1 
accepting 1 1 
accepts 1 1 
access 1 1 
accident 1 1 
accompanied 1 1 
accompanies 1 1 
accord 1 1 
accordingly 1 1 
accordion 1 1 
accountants 1 1 
acid 1 1 
acknowledge 1 1 
acknowledges 1 1 
acknowledging 1 1 
acquaintance 1 1 
acquaintances 1 1 
acres 1 1 
across 1 1 
act 1 1 
actions 1 1 
activated 1 1 
actor 1 1 
actual 1 1 
actually 1 1 
acute 1 1 
ad 1 1 
adapt 1 1 
add 1 1 
added 1 1 
adding 1 1 
addition 1 1 
additional 1 1 
addresses 1 1 
adds 1 1 
adjacent 1 1 
admiringly 1 1 
admission 1 1 
admit 1 1 
admits 1 1 
admitting 1 1 
adoration 1 1 
adore 1 1 
adrenaline 1 1 
adult 1 1 
adults 1 1 
advent 1 1 
aerobics 1 1 
affect 1 1 
affectation 1 1 
afraid 1 1 
african 1 1 
after 1 1 
aftermath 1 1 
afternoon 1 1 
afterwards 1 1 
again 1 1 
against 1 1 
agate 1 1 
age 1 1 
aged 1 1 
agent 1 1 
agnes 1 1 
ago 1 1 
agonized 1 1 
agonizing 1 1 
agony 1 1 
agreed 1 1 
ah 1 1 
ahem 1 1 
aid 1 1 
aim 1 1 
aiming 1 1 
aimless 1 1 
aircraft 1 1 
airkiss 1 1 
airports 1 1 
aisle 1 1 
akai 1 1 
akita 1 1 
alarm 1 1 
alarmed 1 1 
alaska 1 1 
albans 1 1 
album 1 1 
albums 1 1 
alex 1 1 
alive 1 1 
all 1 1 
allen 1 1 
alley 1 1 
alleyway 1 1 
allocating 1 1 
allows 1 1 
allusions 1 1 
almonds 1 1 
almost 1 1 
alone 1 1 
along 1 1 
already 1 1 
also 1 1 
altogether 1 1 
aluminum 1 1 
always 1 1 
am 1 1 
ambitious 1 1 
ambulance 1 1 
ambulances 1 1 
american 1 1 
amex 1 1 
among 1 1 
amount 1 1 
amounts 1 1 
amplifiers 1 1 
amsterdam 1 1 
amuse 1 1 
amused 1 1 
amuses 1 1 
amusing 1 1 
an 1 1 
analog 1 1 
anchored 1 1 
and 1 1 
anderson 1 1 
angeles 1 1 
angelic 1 1 
angrily 1 1 
angry 1 1 
anguished 1 1 
angular 1 1 
animal 1 1 
animals 1 1 
animosity 1 1 
ankle 1 1 
anniversary 1 1 
announce 1 1 
annoyed 1 1 
anonymity 1 1 
another 1 1 
answer 1 1 
answered 1 1 
answering 1 1 
answers 1 1 
ant 1 1 
anticlimax 1 1 
anticonvulsive 1 1 
antidrinking 1 1 
antidrug 1 1 
antiplaque 1 1 
antique 1 1 
antisuicide 1 1 
antone 1 1 
